-0.109810,0.015751,-0.099668
0.214268,-0.147658,0.351923
0.599281,0.258678,0.538507
0.944587,0.348479,0.538507
1.343248,0.748593,0.391504
1.641128,0.600760,0.099543
1.497083,0.511914,2.223617
1.216427,1.060034,2.211292
0.877250,1.180148,1.608142
1.212271,1.343516,1.015679
1.344991,1.747259,1.015679
1.802712,2.105744,1.371297
1.457241,2.475905,1.846758
1.577464,2.418381,1.846757
1.243373,3.020263,1.430383
1.720275,2.821783,-1.472174
1.280140,2.897084,-2.838350
1.326035,2.810517,-0.407409
1.833729,2.823186,-0.894527
1.652431,2.271108,-0.870871
2.189082,2.244146,-0.450216
2.449103,1.973270,0.261896
2.039528,2.189352,1.111211
2.616923,2.613218,0.860321
2.782092,2.958525,0.860321
3.211095,3.303831,0.860321
3.376264,3.800590,0.521756
3.763419,3.613551,0.095281
4.108725,3.757799,0.059487
4.454031,3.654818,0.023086
4.799338,3.765399,0.014474
5.144644,3.664822,0.005834
5.489951,3.767489,0.003662
5.835257,3.667352,0.001489
6.180563,3.768032,0.000935
6.525870,3.667998,0.000381
6.871176,3.768172,0.000239
7.216816,3.668163,0.000097
7.632782,3.822861,-0.235945
7.793278,3.489214,-0.502440
